,miRNA,Target
0,miRNA ,Target Gene 1
1,hsa-miR-200b-3p/hsa-miR-200c-3p/hsa-miR-429,ZEB1
2,hsa-miR-182-5p,ROCK1
3,hsa-miR-101-3p.2,ZFP36L2
4,hsa-miR-130a-3p/hsa-miR-130b-3p/hsa-miR-301a-3p/hsa-miR-301b-3p/hsa-miR-3666/hsa-miR-4295/hsa-miR-454-3p,ZBTB20
5,hsa-miR-9-5p,ONECUT2
6,hsa-miR-1271-5p/hsa-miR-96-5p,NOVA2
7,hsa-miR-493-5p,PDK4
8,hsa-miR-499a-5p,QKI
9,hsa-miR-208a-3p/hsa-miR-208b-3p,QKI
10,hsa-miR-128-3p/hsa-miR-216a-3p/hsa-miR-3681-3p,SZRD1
11,hsa-miR-106a-5p/hsa-miR-106b-5p/hsa-miR-17-5p/hsa-miR-20a-5p/hsa-miR-20b-5p/hsa-miR-519d-3p/hsa-miR-526b-3p/hsa-miR-93-5p,BRMS1L
12,hsa-miR-340-5p,CYP26B1
13,hsa-miR-142-3p.2,MAP4K3
14,hsa-miR-144-3p,SAMD12
15,hsa-miR-27a-3p/hsa-miR-27b-3p,NPEPPS
16,hsa-miR-145-5p/hsa-miR-5195-3p,FSCN1
17,hsa-miR-101-3p.1,MAPK1
18,hsa-miR-141-3p/hsa-miR-200a-3p,ZFAND5
19,hsa-miR-30a-5p/hsa-miR-30b-5p/hsa-miR-30c-5p/hsa-miR-30d-5p/hsa-miR-30e-5p,PPARGC1B
20,hsa-miR-124-3p.1,PLEKHM3
21,hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181c-5p/hsa-miR-181d-5p/hsa-miR-4262,TNPO1
22,hsa-miR-300/hsa-miR-381-3p,DVL2
23,hsa-miR-133a-3p.2/hsa-miR-133b,GDI2
24,hsa-miR-129-5p,CAMK2N1
25,hsa-miR-140-3p.1,CELF2
26,hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7c-5p/hsa-let-7d-5p/hsa-let-7e-5p/hsa-let-7f-5p/hsa-let-7g-5p/hsa-let-7i-5p/hsa-miR-4458/hsa-miR-4500/hsa-miR-98-5p,RDH10
27,hsa-miR-302a-3p/hsa-miR-302b-3p/hsa-miR-302c-3p.1/hsa-miR-302d-3p/hsa-miR-302e/hsa-miR-372-3p/hsa-miR-373-3p/hsa-miR-520a-3p/hsa-miR-520b/hsa-miR-520c-3p/hsa-miR-520d-3p/hsa-miR-520e,SNTB2
28,hsa-miR-183-5p.2,TBX15
29,hsa-miR-323a-3p,MAP4K5
30,hsa-miR-31-5p,STK40
31,hsa-miR-129-1-3p/hsa-miR-129-2-3p,DGKI
32,hsa-miR-1-3p/hsa-miR-206/hsa-miR-613,TNKS2
33,hsa-miR-3167/hsa-miR-876-5p,HS3ST1
34,hsa-miR-183-5p.1,KCNK10
35,hsa-miR-135a-5p/hsa-miR-135b-5p,SP3
36,hsa-miR-124-3p.2/hsa-miR-506-3p,ZBTB20
37,hsa-miR-34a-5p/hsa-miR-34c-5p/hsa-miR-449a/hsa-miR-449b-5p,SCN2B
38,hsa-miR-142-5p/hsa-miR-5590-3p,PLEKHA3
39,hsa-miR-802,DNAJB4
40,hsa-miR-421,CLDN11
41,hsa-miR-103a-3p/hsa-miR-107,DICER1
42,hsa-miR-25-3p/hsa-miR-32-5p/hsa-miR-363-3p/hsa-miR-367-3p/hsa-miR-92a-3p/hsa-miR-92b-3p,CPEB3
43,hsa-miR-582-5p,MKRN2
44,hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29c-3p,PI15
45,hsa-miR-495-3p/hsa-miR-5688,CYP26B1
46,hsa-miR-138-5p,GGCX
47,hsa-miR-299-5p,TLL1
48,hsa-miR-219a-5p/hsa-miR-4782-3p/hsa-miR-6766-3p,RORB
49,hsa-miR-137,GUCY1A2
50,hsa-miR-203a-3p.1,RASAL2
51,hsa-miR-190a-5p/hsa-miR-190b,KPNA4
52,hsa-miR-21-5p/hsa-miR-590-5p,GATAD2B
53,hsa-miR-155-5p,FGF7
54,hsa-miR-501-3p/hsa-miR-502-3p,CLDN11
55,hsa-miR-455-3p.1,NFIB
56,hsa-miR-10a-5p/hsa-miR-10b-5p,CREB1
57,hsa-miR-1297/hsa-miR-26a-5p/hsa-miR-26b-5p/hsa-miR-4465,PTEN
58,hsa-miR-410-3p,HS3ST1
59,hsa-miR-543,M6PR
60,hsa-miR-302c-3p.2/hsa-miR-520f-3p,CYP26B1
61,hsa-miR-122-5p,MASP1
62,hsa-miR-142-3p.1,ITPKB
63,hsa-miR-125a-5p/hsa-miR-125b-5p/hsa-miR-4319,GCNT1
64,hsa-miR-140-3p.2,CBL
65,hsa-miR-374a-5p/hsa-miR-374b-5p,CYP26B1
66,hsa-miR-132-3p/hsa-miR-212-3p,ZBTB20
67,hsa-miR-100-5p/hsa-miR-99a-5p/hsa-miR-99b-5p,AGO2
68,hsa-miR-199a-3p/hsa-miR-199b-3p/hsa-miR-3129-5p,PAK4
